@onakaSuitaaayoh	2017-05-22 19:17:59	緊張(大嘘)#EP演習
@Herzegovinas	2017-05-22 19:18:09	タイトルに自分の名前があるのじわる笑＃EP演習
@doi10070511_fms	2017-05-22 19:18:15	おかあさんといっしょ#EP演習
@sss_tomo0413	2017-05-22 19:18:26	４）シューティングゲームイメージ；火山が噴火して落ちてくる岩を砕く。岩にぶつかるとゲームオーバー#EP演習
@majinfms	2017-05-22 19:18:26	発表うまい#EP演習
@EPDaisuke	2017-05-22 19:18:34	#EP演習　シューティングゲームオープン！！！！！火山弾に当たって死んでしまう
@onakaSuitaaayoh	2017-05-22 19:18:40	あっああっwww#EP演習
@pvcresinfmsfms	2017-05-22 19:18:41	トーク力すごいな #EP演習
@fms_eraser	2017-05-22 19:18:41	人が面白いってずるいな笑 #EP演習
@sasadango232	2017-05-22 19:18:44	ﾃｨｳﾝﾃｨｳﾝ#EP演習
@natume_fms	2017-05-22 19:18:45	人が面白かった #EP演習
@mkw9977	2017-05-22 19:18:49	喋り方いいｗ#EP演習
@galbot979	2017-05-22 19:18:51	話術は大事#EP演習
@onigirimgmg_fms	2017-05-22 19:18:54	#EP演習　みんなすげぇ
@T_daigaku	2017-05-22 19:18:55	おもろい#EP演習
@0334nicole	2017-05-22 19:18:57	発表うまいのいいなあｗ #EP演習
@tsukidate_t	2017-05-22 19:19:00	#EP演習 つよい(メンタル)
@hoihoi_wayway	2017-05-22 19:19:09	プレゼン能力の圧倒的勝利#EP演習
@Luv_MissionK	2017-05-22 19:19:10	#EP演習 顔と名前が一致いたしました
@fms_eraser	2017-05-22 19:19:16	これがエンタテインメントか... #EP演習
@chaki_cheer3	2017-05-22 19:19:28	みんなやばいとかいうのまじやばいやばい詐欺だったんだね泣#EP演習
@chuuoubouhatei	2017-05-22 19:19:31	みんな面白いのつくってる…あれ、私のつまらなくないか？＃EP演習
@Luv_MissionK	2017-05-22 19:19:31	#EP演習 こんな発表できるか心配だわ
@matatsuna	2017-05-22 19:19:34	お！dish使ってる！！！#EP演習
@esplinq_yu	2017-05-22 19:19:43	いけしゅうメンタル強すぎた#EP演習
@onigirimgmg_fms	2017-05-22 19:19:47	これしゃべったことない人の名前覚えれるね、、、、#EP演習
@fms_eraser	2017-05-22 19:19:55	シューティングとタイピングがかぶったね笑 #EP演習
@natume_fms	2017-05-22 19:20:27	商品紹介www #EP演習
@fms3_hy	2017-05-22 19:20:28	それ元気玉じゃない？www#EP演習
@mayumi_kt2	2017-05-22 19:20:40	音がいいね#EP演習
@pvcresinfmsfms	2017-05-22 19:20:40	声うけるｗｗ #EP演習
@esplinq_yu	2017-05-22 19:20:41	ゆっくりめのカメハメハ波#EP演習
@fms_eraser	2017-05-22 19:20:45	マウス操作のシューティングってあんま見ないな #EP演習
@ohnomeijifms	2017-05-22 19:20:52	まって、シューティングもタイピングもやるつもりだったよ～ #EP演習
@auk_key_ikon	2017-05-22 19:20:57	音www#EP演習
@onakaSuitaaayoh	2017-05-22 19:20:59	うっ！#EP演習
@UNK61688740	2017-05-22 19:21:00	声www#EP演習
@chaki_cheer3	2017-05-22 19:21:02	うっ！！！#EP演習
@larcenciel37	2017-05-22 19:21:04	うめき声に笑うｗｗｗ#EP演習
@ekusikaS_fms	2017-05-22 19:21:11	声が…笑#EP演習
@natume_fms	2017-05-22 19:21:12	反省は大事wwww #EP演習
@0334nicole	2017-05-22 19:21:14	反省をしていくｗ #EP演習
@fms_eraser	2017-05-22 19:21:15	反省会始まったぞ？笑 #EP演習
@HomeiMiyashita	2017-05-22 19:21:16	自分が作ったプログラムだからチートすればいいんだよｗ #EP演習
@2n7_5	2017-05-22 19:21:17	フリーザの死に方がシュールすぎる#EP演習
@EPDaisuke	2017-05-22 19:21:19	#EP演習　5 シューティングゲームDB(ドラゴンボール）マウスで動かし　クリックでかめはめ波キャラが四角いうわー
@mayumi_kt2	2017-05-22 19:21:21	反省点をいうのかｗ#EP演習
@Zawa_works	2017-05-22 19:21:22	#EP演習　はただすごいプログラムを発表する場じゃないからな。どれだけ面白いプレゼンをするか、それが問題。だって「エンターテイメント」なんだから。
@sss_tomo0413	2017-05-22 19:21:22	５）シューティングゲームドラゴンボールをモチーフにマウスクリックでカメハメ波をうちフリーザを倒す#EP演習
@turtar_fms	2017-05-22 19:21:24	#EP演習 発表中に反省w
@numaty_null	2017-05-22 19:21:24	発表中に反省すなｗ#EP演習
@onakaSuitaaayoh	2017-05-22 19:21:26	いい声www#EP演習
@kbcha10	2017-05-22 19:21:35	みんな発表慣れてない？wwww#EP演習
@yuas_anti	2017-05-22 19:21:35	今の発表の仕方凄く好き#EP演習
@motsusuke_fms	2017-05-22 19:21:37	う゛っ！！#EP演習
@matatsuna	2017-05-22 19:21:43	dishならwebとかandroidとかにしようぜー！#EP演習
@Luv_MissionK	2017-05-22 19:21:51	#EP演習声wwwwwwww
@tsukidate_t	2017-05-22 19:22:00	#EP演習 その場で反省は新しいスタイル
@pvcresinfmsfms	2017-05-22 19:22:07	スライドちゃんとしてる人いいね #EP演習
@Mellieise	2017-05-22 19:22:18	お　#EP演習
@UNK61688740	2017-05-22 19:22:21	弾幕？#EP演習
@kbcha10	2017-05-22 19:22:21	りっさー頑張れ～～#EP演習
@reika_JD	2017-05-22 19:22:21	#EP演習 弾幕ゲー多いなぁやっぱ
@nouchinow	2017-05-22 19:22:24	かぶるの凄まじいな　#EP演習
@ohnomeijifms	2017-05-22 19:22:32	NieRほんますこ #EP演習
@0334nicole	2017-05-22 19:22:33	めちゃタイムリー #EP演習
@reika_JD	2017-05-22 19:22:35	#EP演習 にーあおーとまた！
@fms_eraser	2017-05-22 19:22:36	シューティング多すぎない #EP演習
@glaceef_maru9	2017-05-22 19:22:38	そういえばニーアにもあったね#EP演習
@pvcresinfmsfms	2017-05-22 19:22:44	NieRよさ #EP演習
@larcenciel37	2017-05-22 19:22:45	にーあ！#EP演習
@yuas_anti	2017-05-22 19:22:46	NieRは最高だぞ#EP演習
@fms_eraser	2017-05-22 19:23:01	シンプルで良いデザイン #EP演習
@ohnomeijifms	2017-05-22 19:23:04	似てる似てるｗ　#EP演習
@Mellieise	2017-05-22 19:23:14	なんか自分に近いものを感じる #EP演習
@ekusikaS_fms	2017-05-22 19:23:14	パワポの説明がめっちゃ丁寧#EP演習
@2n7_5	2017-05-22 19:23:17	めちゃめちゃちゃんと作ってる、、#EP演習
@7th_FMS	2017-05-22 19:23:19	スライドしっかりしてるなー#EP演習
@pvcresinfmsfms	2017-05-22 19:23:23	ゲーム設定とかプログラムをちゃんと解説するのはいいね #EP演習
@yuas_anti	2017-05-22 19:23:31	ハッキング！！９S！！#EP演習
@turtar_fms	2017-05-22 19:23:32	#EP演習 説明がとてもうまい
@onigirimgmg_fms	2017-05-22 19:23:34	デザインすごい、、、、#EP演習
@mayumi_kt2	2017-05-22 19:23:35	意味深#EP演習
@esplinq_yu	2017-05-22 19:23:36	お客さんを引き込むプレゼンなぁ初日じゃなかったら、パクったかもwww#EP演習
@nouchinow	2017-05-22 19:23:38	パワポすごいな　#EP演習
@chuuoubouhatei	2017-05-22 19:23:44	おぉ…難易度も入れてるのか #EP演習
@auk_key_ikon	2017-05-22 19:23:45	いいスライドだなぁ#EP演習
@ekusikaS_fms	2017-05-22 19:23:51	動画だ#EP演習
@takuandake	2017-05-22 19:23:51	なんか普通に売ってそう #EP演習
@numaty_null	2017-05-22 19:23:52	いい発表だ#EP演習
@larcenciel37	2017-05-22 19:23:55	操作方法ちゃんと出るのよい#EP演習
@fms_moyashi	2017-05-22 19:23:56	ニーアだったらマルチエンディングだったらすごい ＃EP演習
